  1    1  2  9.5193933  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
           1  'Pb '    188851.247172114     
    1    1      0.0000000000      0.0000000000      0.0000000000
 F
   6   6   6
   4   2   3   0.00000000000E+00
   5   2   3  -1.89425576195E-04
   6   2   3   7.24606481481E-06
   1   3   3  -4.98525000000E-05
   2   3   3   9.11764375110E-06
   3   3   3  -3.93397222222E-05
   4   3   3   0.00000000000E+00
   5   3   3   2.12336111111E-05
   6   3   3  -4.95004083296E-05
   1   4   3   0.00000000000E+00
   2   4   3   0.00000000000E+00
   3   4   3   0.00000000000E+00
   4   4   3   0.00000000000E+00
   5   4   3   0.00000000000E+00
   6   4   3   0.00000000000E+00
   1   5   3  -2.24980555556E-05
   2   5   3   2.85000941632E-05
   3   5   3   7.17859722222E-05
   4   5   3   0.00000000000E+00
   5   5   3   2.12336111111E-05
   6   5   3  -2.26938749560E-06
   1   6   3   1.90972393791E-04
   2   6   3  -3.08585185185E-05
   3   6   3  -6.65303167698E-05
   4   6   3   0.00000000000E+00
   5   6   3  -1.89425576195E-04
   6   6   3  -2.54989814815E-05
   1   1   4   0.00000000000E+00
   2   1   4   0.00000000000E+00
   3   1   4   0.00000000000E+00
   4   1   4   0.00000000000E+00
   5   1   4   0.00000000000E+00
   6   1   4   0.00000000000E+00
   1   2   4   0.00000000000E+00
   2   2   4   0.00000000000E+00
   3   2   4   0.00000000000E+00
   4   2   4   0.00000000000E+00
   5   2   4   0.00000000000E+00
   6   2   4   0.00000000000E+00
   1   3   4   0.00000000000E+00
   2   3   4   0.00000000000E+00
   3   3   4   0.00000000000E+00
   4   3   4   0.00000000000E+00
   5   3   4   0.00000000000E+00
   6   3   4   0.00000000000E+00
   1   4   4   0.00000000000E+00
   2   4   4   0.00000000000E+00
   3   4   4   0.00000000000E+00
   4   4   4   0.00000000000E+00
   5   4   4   0.00000000000E+00
   6   4   4   0.00000000000E+00
   1   5   4   0.00000000000E+00
   2   5   4   0.00000000000E+00
   3   5   4   0.00000000000E+00
   4   5   4   0.00000000000E+00
   5   5   4   0.00000000000E+00
   6   5   4   0.00000000000E+00
   1   6   4   0.00000000000E+00
   2   6   4   0.00000000000E+00
   3   6   4   0.00000000000E+00
   4   6   4   0.00000000000E+00
   5   6   4   0.00000000000E+00
   6   6   4   0.00000000000E+00
   1   1   5  -1.88313888889E-05
   2   1   5  -3.81828194902E-05
   3   1   5   6.39916388889E-04
   4   1   5   0.00000000000E+00
   5   1   5   1.42733750000E-04
   6   1   5  -8.04527977611E-05
   1   2   5   1.90972393791E-04
   2   2   5  -2.54989814815E-05
   3   2   5  -1.89425576195E-04
   4   2   5   0.00000000000E+00
   5   2   5  -6.65303167698E-05
   6   2   5  -3.08585185185E-05
   1   3   5  -2.24980555556E-05
   2   3   5  -2.26938749560E-06
   3   3   5   2.12336111111E-05
   4   3   5   0.00000000000E+00
   5   3   5   7.17859722222E-05
   6   3   5   2.85000941632E-05
   1   4   5   0.00000000000E+00
   2   4   5   0.00000000000E+00
   3   4   5   0.00000000000E+00
   4   4   5   0.00000000000E+00
   5   4   5   0.00000000000E+00
   6   4   5   0.00000000000E+00
   1   5   5  -4.98525000000E-05
   2   5   5  -4.95004083296E-05
   3   5   5   2.12336111111E-05
   4   5   5   0.00000000000E+00
   5   5   5  -3.93397222222E-05
   6   5   5   9.11764375110E-06
   1   6   5   1.45243365720E-04
   2   6   5   7.24606481481E-06
   3   6   5  -1.89425576195E-04
   4   6   5   0.00000000000E+00
   5   6   5   4.89705290825E-07
   6   6   5  -7.66128703704E-05
   1   1   6  -5.07750694239E-05
   2   1   6   4.85339898148E-03
   3   1   6  -3.81828194902E-05
   4   1   6   0.00000000000E+00
   5   1   6  -8.04527977611E-05
   6   1   6  -5.57746759259E-05
   1   2   6   1.02357407407E-05
   2   2   6   8.42450267793E-05
   3   2   6   7.24606481481E-06
   4   2   6   0.00000000000E+00
   5   2   6  -3.08585185185E-05
   6   2   6   1.95995180758E-05
   1   3   6   3.65908563105E-05
   2   3   6   7.97012962963E-05
   3   3   6  -4.95004083296E-05
   4   3   6   0.00000000000E+00
   5   3   6   2.85000941632E-05
   6   3   6  -1.09912129630E-04
   1   4   6   0.00000000000E+00
   2   4   6   0.00000000000E+00
   3   4   6   0.00000000000E+00
   4   4   6   0.00000000000E+00
   5   4   6   0.00000000000E+00
   6   4   6   0.00000000000E+00
   1   5   6  -3.19298594748E-04
   2   5   6   7.97012962963E-05
   3   5   6  -2.26938749560E-06
   4   5   6   0.00000000000E+00
   5   5   6   9.11764375110E-06
   6   5   6   3.91021759259E-05
   1   6   6   3.13762037037E-05
   2   6   6   8.42450267793E-05
   3   6   6  -2.54989814815E-05
   4   6   6   0.00000000000E+00
   5   6   6  -7.66128703704E-05
   6   6   6  -7.58288636052E-05
   3   3   1   1
   1   1   1   4.05181838889E-02
   2   1   1  -4.62432683428E-03
   3   1   1  -8.65940138889E-04
   4   1   1   0.00000000000E+00
   5   1   1  -8.65940138889E-04
   6   1   1  -4.62432683428E-03
   1   2   1  -4.62432683428E-03
   2   2   1   3.01794814815E-04
   3   2   1  -2.58040768937E-04
   4   2   1   0.00000000000E+00
   5   2   1   1.17959074998E-04
   6   2   1   1.42094851852E-03
   1   3   1  -8.65940138889E-04
   2   3   1  -2.58040768937E-04
   3   3   1  -1.09234444444E-04
   4   3   1   0.00000000000E+00
   5   3   1   4.21938888889E-05
   6   3   1   1.17959074998E-04
   1   4   1   0.00000000000E+00
   2   4   1   0.00000000000E+00
   3   4   1   0.00000000000E+00
   4   4   1   0.00000000000E+00
   5   4   1   0.00000000000E+00
   6   4   1   0.00000000000E+00
   1   5   1  -8.65940138889E-04
   2   5   1   1.17959074998E-04
   3   5   1   4.21938888889E-05
   4   5   1   0.00000000000E+00
   5   5   1  -1.09234444444E-04
   6   5   1  -2.58040768937E-04
   1   6   1  -4.62432683428E-03
   2   6   1   1.42094851852E-03
   3   6   1   1.17959074998E-04
   4   6   1   0.00000000000E+00
   5   6   1  -2.58040768937E-04
   6   6   1   3.01794814815E-04
   1   1   2   1.42578798002E-03
   2   1   2   1.63829398148E-04
   3   1   2  -1.58853115315E-04
   4   1   2   0.00000000000E+00
   5   1   2   2.70858185475E-04
   6   1   2  -4.66189342593E-03
   1   2   2   1.63829398148E-04
   2   2   2   9.43935615110E-05
   3   2   2  -4.69292592593E-05
   4   2   2   0.00000000000E+00
   5   2   2   1.12330185185E-04
   6   2   2   3.09250935938E-04
   1   3   2  -1.58853115315E-04
   2   3   2  -4.69292592593E-05
   3   3   2   2.09999292662E-04
   4   3   2   0.00000000000E+00
   5   3   2   2.34806750729E-05
   6   3   2  -1.18834074074E-04
   1   4   2   0.00000000000E+00
   2   4   2   0.00000000000E+00
   3   4   2   0.00000000000E+00
   4   4   2   0.00000000000E+00
   5   4   2   0.00000000000E+00
   6   4   2   0.00000000000E+00
   1   5   2   2.70858185475E-04
   2   5   2   1.12330185185E-04
   3   5   2   2.34806750729E-05
   4   5   2   0.00000000000E+00
   5   5   2  -3.23412375791E-05
   6   5   2   2.16934537037E-04
   1   6   2  -4.66189342593E-03
   2   6   2   3.09250935938E-04
   3   6   2  -1.18834074074E-04
   4   6   2   0.00000000000E+00
   5   6   2   2.16934537037E-04
   6   6   2  -1.42902916029E-03
   1   1   3  -1.96780555556E-05
   2   1   3  -1.02298128197E-04
   3   1   3   1.38862500000E-05
   4   1   3   0.00000000000E+00
   5   1   3  -7.66664722222E-04
   6   1   3   7.72647818372E-05
   1   2   3  -1.02298128197E-04
   2   2   3   9.26429629630E-05
   3   2   3  -3.30183411448E-05
   4   2   3   0.00000000000E+00
   5   2   3   1.94697265278E-04
   6   2   3   5.06156481481E-05
   1   3   3   1.38862500000E-05
   2   3   3  -3.30183411448E-05
   3   3   3  -1.38611111111E-04
   4   3   3   0.00000000000E+00
   5   3   3  -2.06938888889E-05
   6   3   3  -5.61046539088E-05
   1   4   3   0.00000000000E+00
   2   4   3   0.00000000000E+00
   3   4   3   0.00000000000E+00
   4   4   3   0.00000000000E+00
   5   4   3   0.00000000000E+00
   6   4   3   0.00000000000E+00
   1   5   3  -7.66664722222E-04
   2   5   3   1.94697265278E-04
   3   5   3  -2.06938888889E-05
   4   5   3   0.00000000000E+00
   5   5   3   8.28016666667E-05
   6   5   3   2.77839071917E-04
   1   6   3   7.72647818372E-05
   2   6   3   5.06156481481E-05
   3   6   3  -5.61046539088E-05
   4   6   3   0.00000000000E+00
   5   6   3   2.77839071917E-04
   6   6   3   3.05734074074E-04
   1   1   4   0.00000000000E+00
   2   1   4   0.00000000000E+00
   3   1   4   0.00000000000E+00
   4   1   4   0.00000000000E+00
   5   1   4   0.00000000000E+00
   6   1   4   0.00000000000E+00
   1   2   4   0.00000000000E+00
   2   2   4   0.00000000000E+00
   3   2   4   0.00000000000E+00
   4   2   4   0.00000000000E+00
   5   2   4   0.00000000000E+00
   6   2   4   0.00000000000E+00
   1   3   4   0.00000000000E+00
   2   3   4   0.00000000000E+00
   3   3   4   0.00000000000E+00
   4   3   4   0.00000000000E+00
   5   3   4   0.00000000000E+00
   6   3   4   0.00000000000E+00
   1   4   4   0.00000000000E+00
   2   4   4   0.00000000000E+00
   3   4   4   0.00000000000E+00
   4   4   4   0.00000000000E+00
   5   4   4   0.00000000000E+00
   6   4   4   0.00000000000E+00
   1   5   4   0.00000000000E+00
   2   5   4   0.00000000000E+00
   3   5   4   0.00000000000E+00
   4   5   4   0.00000000000E+00
   5   5   4   0.00000000000E+00
   6   5   4   0.00000000000E+00
   1   6   4   0.00000000000E+00
   2   6   4   0.00000000000E+00
   3   6   4   0.00000000000E+00
   4   6   4   0.00000000000E+00
   5   6   4   0.00000000000E+00
   6   6   4   0.00000000000E+00
   1   1   5  -1.96780555556E-05
   2   1   5   7.72647818372E-05
   3   1   5  -7.66664722222E-04
   4   1   5   0.00000000000E+00
   5   1   5   1.38862500000E-05
   6   1   5  -1.02298128197E-04
   1   2   5   7.72647818372E-05
   2   2   5   3.05734074074E-04
   3   2   5   2.77839071917E-04
   4   2   5   0.00000000000E+00
   5   2   5  -5.61046539088E-05
   6   2   5   5.06156481481E-05
   1   3   5  -7.66664722222E-04
   2   3   5   2.77839071917E-04
   3   3   5   8.28016666667E-05
   4   3   5   0.00000000000E+00
   5   3   5  -2.06938888889E-05
   6   3   5   1.94697265278E-04
   1   4   5   0.00000000000E+00
   2   4   5   0.00000000000E+00
   3   4   5   0.00000000000E+00
   4   4   5   0.00000000000E+00
   5   4   5   0.00000000000E+00
   6   4   5   0.00000000000E+00
   1   5   5   1.38862500000E-05
   2   5   5  -5.61046539088E-05
   3   5   5  -2.06938888889E-05
   4   5   5   0.00000000000E+00
   5   5   5  -1.38611111111E-04
   6   5   5  -3.30183411448E-05
   1   6   5  -1.02298128197E-04
   2   6   5   5.06156481481E-05
   3   6   5   1.94697265278E-04
   4   6   5   0.00000000000E+00
   5   6   5  -3.30183411448E-05
   6   6   5   9.26429629630E-05
   1   1   6   1.42578798002E-03
   2   1   6  -4.66189342593E-03
   3   1   6   2.70858185475E-04
   4   1   6   0.00000000000E+00
   5   1   6  -1.58853115315E-04
   6   1   6   1.63829398148E-04
   1   2   6  -4.66189342593E-03
   2   2   6  -1.42902916029E-03
   3   2   6   2.16934537037E-04
   4   2   6   0.00000000000E+00
   5   2   6  -1.18834074074E-04
   6   2   6   3.09250935938E-04
   1   3   6   2.70858185475E-04
   2   3   6   2.16934537037E-04
   3   3   6  -3.23412375791E-05
   4   3   6   0.00000000000E+00
   5   3   6   2.34806750729E-05
   6   3   6   1.12330185185E-04
   1   4   6   0.00000000000E+00
   2   4   6   0.00000000000E+00
   3   4   6   0.00000000000E+00
   4   4   6   0.00000000000E+00
   5   4   6   0.00000000000E+00
   6   4   6   0.00000000000E+00
   1   5   6  -1.58853115315E-04
   2   5   6  -1.18834074074E-04
   3   5   6   2.34806750729E-05
   4   5   6   0.00000000000E+00
   5   5   6   2.09999292662E-04
   6   5   6  -4.69292592593E-05
   1   6   6   1.63829398148E-04
   2   6   6   3.09250935938E-04
   3   6   6   1.12330185185E-04
   4   6   6   0.00000000000E+00
   5   6   6  -4.69292592593E-05
   6   6   6   9.43935615110E-05
